epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10612.7,1.32709,1.07862,1.30448,0.77031,0.709,0.77812,0.45869,1.29292,1.10371,1.2396,0.00639856,0.00639856,0.00639856
43,10864.9,1.31615,1.06964,1.30284,0.77757,0.70227,0.78111,0.46317,1.28295,1.07428,1.22959,0.00624721,0.00624721,0.00624721
44,11116.7,1.31001,1.05934,1.29799,0.77326,0.70727,0.77792,0.46109,1.28542,1.05617,1.23084,0.00609463,0.00609463,0.00609463
45,11369,1.3003,1.04046,1.28715,0.78977,0.7009,0.78398,0.46604,1.28245,1.00861,1.22887,0.00594097,0.00594097,0.00594097
46,11620.8,1.30229,1.04442,1.2921,0.78746,0.71081,0.78367,0.46521,1.28477,1.03331,1.23183,0.00578639,0.00578639,0.00578639
47,11873,1.29495,1.02531,1.28255,0.78322,0.71446,0.78391,0.46449,1.29042,1.09291,1.23849,0.00563104,0.00563104,0.00563104
48,12124.9,1.28919,1.01648,1.2802,0.78579,0.71435,0.78486,0.4679,1.28691,1.07924,1.23252,0.00547507,0.00547507,0.00547507
49,12377,1.28482,1.01484,1.27786,0.78023,0.71405,0.78636,0.46866,1.29203,1.06359,1.23343,0.00531864,0.00531864,0.00531864
50,12629.2,1.28031,1.00045,1.27218,0.78581,0.71218,0.79057,0.47036,1.28893,1.09738,1.23379,0.0051619,0.0051619,0.0051619
51,12881.6,1.26113,0.98384,1.26444,0.77617,0.72122,0.79116,0.47129,1.2856,1.08946,1.23506,0.005005,0.005005,0.005005
52,13133.5,1.25932,0.97855,1.25981,0.77346,0.72415,0.79094,0.47175,1.28646,1.05587,1.23789,0.0048481,0.0048481,0.0048481
53,13385.4,1.24348,0.95566,1.24524,0.77932,0.71726,0.79152,0.47267,1.28785,1.02311,1.23741,0.00469136,0.00469136,0.00469136
54,13637.4,1.24495,0.96281,1.24352,0.78235,0.71996,0.79133,0.4737,1.29171,1.01956,1.23996,0.00453493,0.00453493,0.00453493
55,13889.2,1.24134,0.95219,1.24644,0.79305,0.71861,0.79214,0.47425,1.29017,1.05831,1.24074,0.00437896,0.00437896,0.00437896
56,14141.3,1.23614,0.9376,1.24287,0.79635,0.71208,0.79231,0.47347,1.28782,1.0673,1.24006,0.00422361,0.00422361,0.00422361
57,14393.2,1.23247,0.92884,1.2377,0.79288,0.71451,0.79183,0.47309,1.28961,1.09763,1.24168,0.00406903,0.00406903,0.00406903
58,14644.7,1.22014,0.92295,1.22984,0.80186,0.70898,0.79335,0.47412,1.29424,1.09283,1.24508,0.00391537,0.00391537,0.00391537
59,14896.5,1.21818,0.91739,1.22812,0.78572,0.71768,0.79206,0.47321,1.29471,1.0782,1.2453,0.00376279,0.00376279,0.00376279
60,15149.1,1.21047,0.90297,1.22053,0.79704,0.71515,0.79195,0.47376,1.29308,1.04524,1.2444,0.00361144,0.00361144,0.00361144
61,15400.9,1.20444,0.89348,1.21832,0.79948,0.71443,0.79224,0.47424,1.29246,1.0344,1.24515,0.00346146,0.00346146,0.00346146
62,15653.1,1.19162,0.87966,1.21082,0.80292,0.71205,0.79128,0.47342,1.29072,1.01176,1.24584,0.003313,0.003313,0.003313
63,15905.3,1.18175,0.86466,1.20665,0.79623,0.71681,0.79081,0.47433,1.2902,1.00552,1.24663,0.00316622,0.00316622,0.00316622
64,16157.4,1.17704,0.86072,1.20508,0.79095,0.71922,0.79117,0.47462,1.28829,1.00697,1.24605,0.00302125,0.00302125,0.00302125
65,16409.2,1.17151,0.85947,1.19914,0.79284,0.71821,0.78985,0.47397,1.28678,0.98673,1.2464,0.00287823,0.00287823,0.00287823
